country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,source,reported_date
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-01-10
Russia,RU,RUS,145934460,,74,"Epidemic intelligence, national daily data",2020-08-07
Serbia,RS,SRB,6963764,,1,"Epidemic intelligence, national daily data",2020-09-30
Spain,ES,ESP,46937060,,4,"Epidemic intelligence, national daily data",2020-07-08
Azerbaijan,AZ,AZE,10139175,,4,"Epidemic intelligence, national daily data",2020-06-15
Ireland,IE,IRL,4904240,,33,"Epidemic intelligence, national daily data",2020-04-12
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-03-23
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-09-22
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-01-19
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-04-20
Armenia,AM,ARM,2963234,,15,"Epidemic intelligence, national daily data",2020-07-16
Sweden,SE,SWE,10230185,,1,"Epidemic intelligence, national daily data",2020-03-18
Serbia,RS,SRB,6963764,,9,"Epidemic intelligence, national daily data",2020-08-10
Iceland,IS,ISL,356991,,1,"Epidemic intelligence, national daily data",2020-03-24
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-05-19
Moldova,MD,MDA,4033963,,17,"Epidemic intelligence, national daily data",2020-10-08
Gibraltar,GI,GIB,33691,,0,"Epidemic intelligence, national daily data",2020-08-23
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-08-29
Ireland,IE,IRL,4904240,,10,"Epidemic intelligence, national daily data",2020-03-27
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-01-28
Portugal,PT,PRT,10276617,,0,"Epidemic intelligence, national daily data",2020-01-07
Ukraine,UA,UKR,43733759,,10,"Epidemic intelligence, national daily data",2020-05-30
Turkey,TR,TUR,82003882,,76,"Epidemic intelligence, national daily data",2020-04-05
Gibraltar,GI,GIB,33691,,0,"Epidemic intelligence, national daily data",2020-02-28
Greece,EL,GRC,10724599,,0,"Epidemic intelligence, national daily data",2020-03-10
Guernsey,GG,GGY,64468,,2,"Epidemic intelligence, national daily data",2020-04-17
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-06-23
Russia,RU,RUS,145934460,,0,"Epidemic intelligence, national daily data",2020-02-15
Georgia,GE,GEO,3989175,,0,"Epidemic intelligence, national daily data",2020-08-22
Serbia,RS,SRB,6963764,,7,"Epidemic intelligence, national daily data",2020-04-07
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-02-07
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-07-08
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-07-25
Spain,ES,ESP,46937060,,757,"Epidemic intelligence, national daily data",2020-04-09
Greece,EL,GRC,10724599,,5,"Epidemic intelligence, national daily data",2020-04-22
United Kingdom,UK,GBR,66647112,,10,"Epidemic intelligence, national daily data",2020-07-21
Romania,RO,ROU,19414458,,10,"Epidemic intelligence, national daily data",2020-06-28
Ukraine,UA,UKR,43733759,,0,"Epidemic intelligence, national daily data",2020-08-15
Albania,AL,ALB,2862427,,0,"Epidemic intelligence, national daily data",2020-06-06
Turkey,TR,TUR,82003882,,0,"Epidemic intelligence, national daily data",2020-02-14
Hungary,HU,HUN,9772756,,6,"Epidemic intelligence, national daily data",2020-05-14
Italy,IT,ITA,60359546,,810,"Epidemic intelligence, national daily data",2020-03-31
Denmark,DK,DNK,5806081,,0,"Epidemic intelligence, national daily data",2020-07-19
France,FR,FRA,67012883,,0,"Epidemic intelligence, national daily data",2020-02-12
Montenegro,ME,MNE,622182,,4,"Epidemic intelligence, national daily data",2020-08-06
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-06-19
Poland,PL,POL,37972812,,13,"Epidemic intelligence, national daily data",2020-05-30
Hungary,HU,HUN,9772756,,12,"Epidemic intelligence, national daily data",2020-09-26
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-06-14
Luxembourg,LU,LUX,613894,,1,"Epidemic intelligence, national daily data",2020-08-18
Turkey,TR,TUR,82003882,,73,"Epidemic intelligence, national daily data",2020-04-06
Bosnia and Herzegovina,BA,BIH,3280815,,4,"Epidemic intelligence, national daily data",2020-04-01
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-01-31
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-03-18
Serbia,RS,SRB,6963764,,10,"Epidemic intelligence, national daily data",2020-07-25
Montenegro,ME,MNE,622182,,0,"Epidemic intelligence, national daily data",2020-06-20
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-05-30
Switzerland,CH,CHE,8544527,,7,"Epidemic intelligence, national daily data",2020-10-13
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-07-09
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-08-08
Serbia,RS,SRB,6963764,,1,"Epidemic intelligence, national daily data",2020-09-10
Netherlands,NL,NLD,17282163,,1,"Epidemic intelligence, national daily data",2020-07-07
Netherlands,NL,NLD,17282163,,7,"Epidemic intelligence, national daily data",2020-10-06
Guernsey,GG,GGY,64468,,1,"Epidemic intelligence, national daily data",2020-04-25
Denmark,DK,DNK,5806081,,1,"Epidemic intelligence, national daily data",2020-09-05
Hungary,HU,HUN,9772756,,6,"Epidemic intelligence, national daily data",2020-05-27
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-03-07
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-08-31
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-08-28
Greece,EL,GRC,10724599,,0,"Epidemic intelligence, national daily data",2020-01-08
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-06-22
Spain,ES,ESP,46937060,,3,"Epidemic intelligence, national daily data",2020-06-29
Romania,RO,ROU,19414458,,21,"Epidemic intelligence, national daily data",2020-07-16
Poland,PL,POL,37972812,,0,"Epidemic intelligence, national daily data",2020-01-02
Denmark,DK,DNK,5806081,,2,"Epidemic intelligence, national daily data",2020-10-09
Moldova,MD,MDA,4033963,,0,"Epidemic intelligence, national daily data",2020-03-27
Moldova,MD,MDA,4033963,,0,"Epidemic intelligence, national daily data",2020-02-14
Austria,AT,AUT,8858775,,5,"Epidemic intelligence, national daily data",2020-10-06
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-10-23
Georgia,GE,GEO,3989175,,18,"Epidemic intelligence, national daily data",2020-10-25
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-01-04
Greece,EL,GRC,10724599,,6,"Epidemic intelligence, national daily data",2020-03-30
Switzerland,CH,CHE,8544527,,7,"Epidemic intelligence, national daily data",2020-05-29
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-05-24
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-05-13
Switzerland,CH,CHE,8544527,,4,"Epidemic intelligence, national daily data",2020-10-09
Italy,IT,ITA,60359546,,6,"Epidemic intelligence, national daily data",2020-08-14
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-09-26
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-01-07
Ukraine,UA,UKR,43733759,,125,"Epidemic intelligence, national daily data",2020-10-25
Albania,AL,ALB,2862427,,5,"Epidemic intelligence, national daily data",2020-08-23
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-03-08
Sweden,SE,SWE,10230185,,47,"Epidemic intelligence, national daily data",2020-05-17
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-10-25
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-08-31
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-07-10
Serbia,RS,SRB,6963764,,3,"Epidemic intelligence, national daily data",2020-05-08
Belarus,BY,BLR,9449321,,5,"Epidemic intelligence, national daily data",2020-08-28
Russia,RU,RUS,145934460,,182,"Epidemic intelligence, national daily data",2020-06-03
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-01-25
Montenegro,ME,MNE,622182,,0,"Epidemic intelligence, national daily data",2020-04-20
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-01-29
Portugal,PT,PRT,10276617,,17,"Epidemic intelligence, national daily data",2020-10-20
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-06-03
Germany,DE,DEU,83019213,,1,"Epidemic intelligence, national daily data",2020-09-06
Moldova,MD,MDA,4033963,,0,"Epidemic intelligence, national daily data",2020-03-18
Belarus,BY,BLR,9449321,,3,"Epidemic intelligence, national daily data",2020-04-23
Armenia,AM,ARM,2963234,,2,"Epidemic intelligence, national daily data",2020-04-14
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-03-11
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-04-21
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-08-13
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-07-23
Greece,EL,GRC,10724599,,0,"Epidemic intelligence, national daily data",2020-08-07
Luxembourg,LU,LUX,613894,,1,"Epidemic intelligence, national daily data",2020-08-04
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-05-28
Denmark,DK,DNK,5806081,,0,"Epidemic intelligence, national daily data",2020-01-09
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-05-09
Georgia,GE,GEO,3989175,,0,"Epidemic intelligence, national daily data",2020-07-08
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-04-15
Albania,AL,ALB,2862427,,4,"Epidemic intelligence, national daily data",2020-08-09
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-06-29
Czechia,CZ,CZE,10649800,,7,"Epidemic intelligence, national daily data",2020-04-11
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-06-28
Turkey,TR,TUR,82003882,,71,"Epidemic intelligence, national daily data",2020-10-18
Bosnia and Herzegovina,BA,BIH,3280815,,0,"Epidemic intelligence, national daily data",2020-02-25
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-09-13
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-10-25
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-07-12
Netherlands,NL,NLD,17282163,,27,"Epidemic intelligence, national daily data",2020-05-22
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-10-09
Denmark,DK,DNK,5806081,,6,"Epidemic intelligence, national daily data",2020-05-09
Bosnia and Herzegovina,BA,BIH,3280815,,0,"Epidemic intelligence, national daily data",2020-02-19
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-07-08
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-08-22
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-04-18
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-02-17
France,FR,FRA,67012883,,163,"Epidemic intelligence, national daily data",2020-10-22
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-01-11
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-09-21
Belarus,BY,BLR,9449321,,0,"Epidemic intelligence, national daily data",2020-01-02
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-01-27
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-09-22
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-09-07
Portugal,PT,PRT,10276617,,3,"Epidemic intelligence, national daily data",2020-09-10
North Macedonia,MK,MKD,2077132,,5,"Epidemic intelligence, national daily data",2020-10-13
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-09-07
Czechia,CZ,CZE,10649800,,23,"Epidemic intelligence, national daily data",2020-10-02
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-06-07
Netherlands,NL,NLD,17282163,,16,"Epidemic intelligence, national daily data",2020-05-12
Switzerland,CH,CHE,8544527,,0,"Epidemic intelligence, national daily data",2020-01-16
Poland,PL,POL,37972812,,30,"Epidemic intelligence, national daily data",2020-04-09
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-10-20
Romania,RO,ROU,19414458,,41,"Epidemic intelligence, national daily data",2020-09-09
Belgium,BE,BEL,11455519,,93,"Epidemic intelligence, national daily data",2020-05-02
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-01-22
Poland,PL,POL,37972812,,18,"Epidemic intelligence, national daily data",2020-08-07
Spain,ES,ESP,46937060,,849,"Epidemic intelligence, national daily data",2020-04-01
Belgium,BE,BEL,11455519,,246,"Epidemic intelligence, national daily data",2020-04-06
Latvia,LV,LVA,1919968,,1,"Epidemic intelligence, national daily data",2020-10-14
Turkey,TR,TUR,82003882,,48,"Epidemic intelligence, national daily data",2020-05-16
Armenia,AM,ARM,2963234,,13,"Epidemic intelligence, national daily data",2020-06-26
Albania,AL,ALB,2862427,,1,"Epidemic intelligence, national daily data",2020-09-10
North Macedonia,MK,MKD,2077132,,0,"Epidemic intelligence, national daily data",2020-01-18
Hungary,HU,HUN,9772756,,1,"Epidemic intelligence, national daily data",2020-06-26
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-06-04
Croatia,HR,HRV,4076246,,3,"Epidemic intelligence, national daily data",2020-09-30
Russia,RU,RUS,145934460,,111,"Epidemic intelligence, national daily data",2020-08-30
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-01-04
Bulgaria,BG,BGR,7000039,,3,"Epidemic intelligence, national daily data",2020-04-24
Iceland,IS,ISL,356991,,2,"Epidemic intelligence, national daily data",2020-04-03
Bosnia and Herzegovina,BA,BIH,3280815,,0,"Epidemic intelligence, national daily data",2020-03-27
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-08-21
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-09-05
United Kingdom,UK,GBR,66647112,,0,"Epidemic intelligence, national daily data",2020-02-06
Austria,AT,AUT,8858775,,2,"Epidemic intelligence, national daily data",2020-08-23
France,FR,FRA,67012883,,330,"Epidemic intelligence, national daily data",2020-05-06
United Kingdom,UK,GBR,66647112,,9,"Epidemic intelligence, national daily data",2020-07-19
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-09-23
Poland,PL,POL,37972812,,0,"Epidemic intelligence, national daily data",2020-01-09
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-03-22
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-02-21
Switzerland,CH,CHE,8544527,,2,"Epidemic intelligence, national daily data",2020-05-30
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-05-02
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-06-03
Turkey,TR,TUR,82003882,,22,"Epidemic intelligence, national daily data",2020-08-18
Austria,AT,AUT,8858775,,22,"Epidemic intelligence, national daily data",2020-04-10
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-09-13
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-05-09
Bulgaria,BG,BGR,7000039,,0,"Epidemic intelligence, national daily data",2020-06-14
Italy,IT,ITA,60359546,,347,"Epidemic intelligence, national daily data",2020-03-17
North Macedonia,MK,MKD,2077132,,2,"Epidemic intelligence, national daily data",2020-06-01
Belarus,BY,BLR,9449321,,0,"Epidemic intelligence, national daily data",2020-01-14
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-09-23
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-10-14
Lithuania,LT,LTU,2794184,,1,"Epidemic intelligence, national daily data",2020-10-16
Ukraine,UA,UKR,43733759,,0,"Epidemic intelligence, national daily data",2020-01-07
Denmark,DK,DNK,5806081,,3,"Epidemic intelligence, national daily data",2020-10-24
Hungary,HU,HUN,9772756,,24,"Epidemic intelligence, national daily data",2020-10-07
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-06-08
Spain,ES,ESP,46937060,,0,"Epidemic intelligence, national daily data",2020-02-22
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-05-18
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-07-06
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-02-23
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-04-10
Poland,PL,POL,37972812,,14,"Epidemic intelligence, national daily data",2020-09-04
Sweden,SE,SWE,10230185,,0,"Epidemic intelligence, national daily data",2020-02-10
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-07-11
Luxembourg,LU,LUX,613894,,2,"Epidemic intelligence, national daily data",2020-04-23
Lithuania,LT,LTU,2794184,,1,"Epidemic intelligence, national daily data",2020-05-03
Montenegro,ME,MNE,622182,,0,"Epidemic intelligence, national daily data",2020-04-30
Spain,ES,ESP,46937060,,177,"Epidemic intelligence, national daily data",2020-09-30
France,FR,FRA,67012883,,289,"Epidemic intelligence, national daily data",2020-05-01
Kosovo,,,1798506,,0,"Epidemic intelligence, national daily data",2020-04-01
North Macedonia,MK,MKD,2077132,,0,"Epidemic intelligence, national daily data",2020-03-22
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-06-29
Spain,ES,ESP,46937060,,0,"Epidemic intelligence, national daily data",2020-02-12
Bulgaria,BG,BGR,7000039,,2,"Epidemic intelligence, national daily data",2020-07-05
Bulgaria,BG,BGR,7000039,,0,"Epidemic intelligence, national daily data",2020-06-07
Netherlands,NL,NLD,17282163,,0,"Epidemic intelligence, national daily data",2020-08-02
Serbia,RS,SRB,6963764,,3,"Epidemic intelligence, national daily data",2020-10-25
Russia,RU,RUS,145934460,,154,"Epidemic intelligence, national daily data",2020-07-01
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-02-28
Switzerland,CH,CHE,8544527,,16,"Epidemic intelligence, national daily data",2020-05-21
Bulgaria,BG,BGR,7000039,,0,"Epidemic intelligence, national daily data",2020-02-07
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-06-30
Finland,FI,FIN,5517919,,5,"Epidemic intelligence, national daily data",2020-05-01
North Macedonia,MK,MKD,2077132,,0,"Epidemic intelligence, national daily data",2020-01-16
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-02-10
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-02-05
Bosnia and Herzegovina,BA,BIH,3280815,,0,"Epidemic intelligence, national daily data",2020-02-05
Belarus,BY,BLR,9449321,,4,"Epidemic intelligence, national daily data",2020-07-14
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-08-07
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-03-20
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-09-28
Belarus,BY,BLR,9449321,,0,"Epidemic intelligence, national daily data",2020-02-29
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-07-21
France,FR,FRA,67012883,,0,"Epidemic intelligence, national daily data",2020-01-23
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-03-05
Poland,PL,POL,37972812,,10,"Epidemic intelligence, national daily data",2020-06-22
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-05-04
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-08-28
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-02-06
Azerbaijan,AZ,AZE,10139175,,0,"Epidemic intelligence, national daily data",2020-03-17
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-03-09
Moldova,MD,MDA,4033963,,0,"Epidemic intelligence, national daily data",2020-01-09
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-06-23
Italy,IT,ITA,60359546,,18,"Epidemic intelligence, national daily data",2020-10-05
Serbia,RS,SRB,6963764,,0,"Epidemic intelligence, national daily data",2020-01-26
Sweden,SE,SWE,10230185,,45,"Epidemic intelligence, national daily data",2020-03-31
Bulgaria,BG,BGR,7000039,,0,"Epidemic intelligence, national daily data",2020-03-10
Russia,RU,RUS,145934460,,0,"Epidemic intelligence, national daily data",2020-01-16
Gibraltar,GI,GIB,33691,,0,"Epidemic intelligence, national daily data",2020-06-16
Georgia,GE,GEO,3989175,,0,"Epidemic intelligence, national daily data",2020-04-28
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-08-30
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-04-02
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-03-29
Jersey,JE,JEY,107796,,1,"Epidemic intelligence, national daily data",2020-05-14
Norway,NO,NOR,5328212,,7,"Epidemic intelligence, national daily data",2020-05-12
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-02-19
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-08-27
United Kingdom,UK,GBR,66647112,,19,"Epidemic intelligence, national daily data",2020-10-06
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-02-24
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-03-02
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-07-28
Moldova,MD,MDA,4033963,,0,"Epidemic intelligence, national daily data",2020-09-07
Norway,NO,NOR,5328212,,11,"Epidemic intelligence, national daily data",2020-04-09
Romania,RO,ROU,19414458,,39,"Epidemic intelligence, national daily data",2020-08-31
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-02-29
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-01-27
Croatia,HR,HRV,4076246,,1,"Epidemic intelligence, national daily data",2020-04-22
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-09-29
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-09-20
Belarus,BY,BLR,9449321,,6,"Epidemic intelligence, national daily data",2020-07-05
Finland,FI,FIN,5517919,,1,"Epidemic intelligence, national daily data",2020-04-04
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-09-25
Romania,RO,ROU,19414458,,66,"Epidemic intelligence, national daily data",2020-10-15
Spain,ES,ESP,46937060,,176,"Epidemic intelligence, national daily data",2020-05-12
Italy,IT,ITA,60359546,,0,"Epidemic intelligence, national daily data",2020-01-31
Italy,IT,ITA,60359546,,6,"Epidemic intelligence, national daily data",2020-08-07
Montenegro,ME,MNE,622182,,3,"Epidemic intelligence, national daily data",2020-08-26
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-01-19
Armenia,AM,ARM,2963234,,6,"Epidemic intelligence, national daily data",2020-06-09
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-03-04
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-08-21
Albania,AL,ALB,2862427,,4,"Epidemic intelligence, national daily data",2020-07-01
Serbia,RS,SRB,6963764,,9,"Epidemic intelligence, national daily data",2020-07-22
Greece,EL,GRC,10724599,,3,"Epidemic intelligence, national daily data",2020-09-17
Hungary,HU,HUN,9772756,,6,"Epidemic intelligence, national daily data",2020-09-19
Austria,AT,AUT,8858775,,16,"Epidemic intelligence, national daily data",2020-04-15
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-06-28
Poland,PL,POL,37972812,,11,"Epidemic intelligence, national daily data",2020-04-27
Belgium,BE,BEL,11455519,,49,"Epidemic intelligence, national daily data",2020-10-20
Sweden,SE,SWE,10230185,,1,"Epidemic intelligence, national daily data",2020-08-15
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-07-25
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-08-07
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-10-13
Spain,ES,ESP,46937060,,517,"Epidemic intelligence, national daily data",2020-04-14
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-01-17
Georgia,GE,GEO,3989175,,1,"Epidemic intelligence, national daily data",2020-04-19
Armenia,AM,ARM,2963234,,3,"Epidemic intelligence, national daily data",2020-09-03
Switzerland,CH,CHE,8544527,,0,"Epidemic intelligence, national daily data",2020-08-04
United Kingdom,UK,GBR,66647112,,0,"Epidemic intelligence, national daily data",2020-02-28
Bulgaria,BG,BGR,7000039,,0,"Epidemic intelligence, national daily data",2020-01-09
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-07-07
Ukraine,UA,UKR,43733759,,0,"Epidemic intelligence, national daily data",2020-01-13
France,FR,FRA,67012883,,44,"Epidemic intelligence, national daily data",2020-06-05
San Marino,SM,SMR,34453,,1,"Epidemic intelligence, national daily data",2020-03-02
Moldova,MD,MDA,4033963,,6,"Epidemic intelligence, national daily data",2020-07-26
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-01-12
Kosovo,,,1798506,,0,"Epidemic intelligence, national daily data",2020-01-22
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-02-25
Russia,RU,RUS,145934460,,113,"Epidemic intelligence, national daily data",2020-05-16
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-08-16
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-06-20
Montenegro,ME,MNE,622182,,1,"Epidemic intelligence, national daily data",2020-04-15
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-06-04
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-01-17
Bosnia and Herzegovina,BA,BIH,3280815,,6,"Epidemic intelligence, national daily data",2020-05-11
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-03-05
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-07-25
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-01-22
Austria,AT,AUT,8858775,,2,"Epidemic intelligence, national daily data",2020-06-22
Gibraltar,GI,GIB,33691,,0,"Epidemic intelligence, national daily data",2020-06-07
Russia,RU,RUS,145934460,,188,"Epidemic intelligence, national daily data",2020-10-07
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-06-23
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-09-29
Azerbaijan,AZ,AZE,10139175,,0,"Epidemic intelligence, national daily data",2020-02-06
Jersey,JE,JEY,107796,,1,"Epidemic intelligence, national daily data",2020-03-30
Italy,IT,ITA,60359546,,111,"Epidemic intelligence, national daily data",2020-05-31
Germany,DE,DEU,83019213,,0,"Epidemic intelligence, national daily data",2020-03-03
Denmark,DK,DNK,5806081,,0,"Epidemic intelligence, national daily data",2020-08-17
Malta,MT,MLT,493559,,2,"Epidemic intelligence, national daily data",2020-10-06
